Country,Code,Continent,Region
Senegal,SEN,Africa,Western Africa
Serbia,SRB,Europe,Southern Europe
Seychelles,SYC,Africa,Eastern Africa
Sierra Leone,WAL,Africa,Western Africa
Singapore,SGP,Asia,South-eastern Asia
Sint Maarten (Dutch part),SXM,Americas,Caribbean
Slovakia,SVK,Europe,Eastern Europe
Slovenia,SLO,Europe,Southern Europe
Solomon Islands,SLB,Oceania,Melanesia
Somalia,SOM,Africa,Eastern Africa
South Africa,ZAF,Africa,Southern Africa
South Georgia and the South Sandwich Islands,SGS,Americas,South America
South Sudan,SSD,Africa,Eastern Africa
Spain,ESP,Europe,Southern Europe
Sri Lanka,LKA,Asia,Southern Asia
State of Palestine,,Asia,Western Asia
Sudan,SDN,Africa,Northern Africa
Suriname,SME,Americas,South America
Svalbard and Jan Mayen Islands,,Europe,Northern Europe
Sweden,SWE,Europe,Northern Europe
Switzerland,CHE,Europe,Western Europe
Syrian Arab Republic,SYR,Asia,Western Asia
Tajikistan,TJK,Asia,Central Asia
Thailand,THA,Asia,South-eastern Asia
Timor-Leste [East Timor],,Asia,South-eastern Asia
Togo,TGO,Africa,Western Africa
Tokelau,TKL,Oceania,Polynesia
Tonga,TON,Oceania,Polynesia
Trinidad and Tobago,TTO,Americas,Caribbean
Tunisia,TUN,Africa,Northern Africa
Turkmenistan,TMN,Asia,Central Asia
Turks and Caicos Islands,TCA,Americas,Caribbean
Tuvalu,TUV,Oceania,Polynesia
Türkiye,TUR,Asia,Western Asia
Uganda,EAU,Africa,Eastern Africa
Ukraine,UKR,Europe,Eastern Europe
United Arab Emirates,ARE,Asia,Western Asia
United Kingdom of Great Britain and Northern Ireland,GBR,Europe,Northern Europe
United Republic of Tanzania,,Africa,Eastern Africa
United States Minor Outlying Islands,UMI,Oceania,Micronesia
United States Virgin Islands,,Americas,Caribbean
United States of America,USA,Americas,Northern America
Uruguay,ROU,Americas,South America
Uzbekistan,UZB,Asia,Central Asia
Vanuatu,VUT,Oceania,Melanesia
Venezuela (Bolivarian Republic of),,Americas,South America
Viet Nam,VNM,Asia,South-eastern Asia
Wallis and Futuna Islands,,Oceania,Polynesia
Western Sahara,ESH,Africa,Northern Africa
Yemen,YEM,Asia,Western Asia
Zambia,RNR,Africa,Eastern Africa
Zimbabwe,ZWE,Africa,Eastern Africa
